Li,DEPTHUPPER
5.97,7982.0
6.17,7370.0
6.53,7336.0
6.87,7336.0
7.83,7400.0
6.22,8070.0
7.02,7208.0
5.14,5705.0
6.68,7496.0
6.46,8629.0
2.0,6310.0
2.0,6205.0
2.0,6386.0
2.0,6283.0
1.0,5444.0
59.0,8396.0
47.0,14174.0
43.0,8426.0
38.0,14433.0
45.0,12495.0
23.0,11024.0
7.0,9346.0
6.0,9994.0
14.0,11620.0
25.0,12365.0
37.0,12040.0
9.0,9459.0
4.0,8858.0
31.0,6833.0
26.0,12462.0
11.0,11724.0
1046.8664999999999,11829.0
562.4175,6355.0
914.6474999999999,10335.0
948.543,10718.0
3.45,8543.0
2.29,7537.0
3.2,10837.0
3.4,8595.0
2.5,8568.0
2.4,10846.0
2.8,9806.0
4.4,9806.0
3.0,11074.0
2.9,9130.0
2.3,8396.0
2.8,9100.0
4.5,9742.0
3.0,12018.0
2.8,11350.0
3.2,8846.0
3.5,9074.0
3.7,9846.0
6.16,10209.0
6.25,11237.0
6.14,10723.0
6.45,12270.0
3.88,10634.0
4.1,9400.0
2.8,9603.0
3.15,0.278775
6.59,0.5832149999999999
5.6,10623.0
12.2,15046.0
3.87,9458.0
9.57,10620.0
5.35,11312.0
7.35,8856.0
7.25,8104.0
5.66,14244.0
5.3,11116.0
3.48,10748.0
3.13,6688.0
4.4,11363.0
4.58,10504.0
6.49,8836.0
3.06,9905.0
1.9,10456.0
2.62,8053.0
225.0,16212.0
143.0,16406.0
85.3,16535.0
16.1,11289.0
841.3694999999999,9507.0
468.60749999999996,5295.0
474.9795,5367.0
1.43,6899.0
2.18,7000.0
393.471,4446.0
473.2095,5347.0
651.8025,7365.0
5.55,7598.0
5.53,8028.0
5.0,7900.0
2.44,6950.0
1.37,6405.0
1.64,6600.0
3.05,7993.0
3.78,7842.0
1.12,3404.0
4.62,8917.0
3.97,10500.0
1.69,6407.0
4.13,9596.0
5.43,10570.0
79.6,18370.0
13.3,18232.0
1108.4624999999999,12525.0
1045.2735,11811.0
1193.511,13486.0
1158.0225,13085.0
21.2,13660.0
44.7,12718.0
6.6,0.5841
6.0,8704.0
4.4,7744.0
15.5,13243.0
25.0,11460.0
9.19,9626.0
710.9205,8033.0
736.497,8322.0
572.418,6468.0
834.3779999999999,9428.0
536.1329999999999,6058.0
2.5,6838.0
652.245,7370.0
516.486,5836.0
10.3,10404.0
912.5234999999999,10311.0
972.438,10988.0
5.0,6976.0
8.6,11178.0
5.4,7571.0
4.4,7574.0
5.0,7619.0
5.4,8176.0
10.0,8166.0
8.6,8164.0
803.226,9076.0
10.3,7408.0
640.563,7238.0
671.0955,7583.0
717.0269999999999,8102.0
725.5229999999999,8198.0
30.8,12508.0
810.483,9158.0
719.505,8130.0
1187.6699999999998,13420.0
23.3,2.06205
51.6,4.5666
84.9,7.51365
49.3,4.363049999999999
71.4,6.3189
115.0,10.1775
41.9,3.70815
71.2,6.3012
125.0,11.0625
22.7,2.00895
48.0,4.247999999999999
39.4,3.4869
58.5,5.17725
5.61,0.496485
33.0,2.9204999999999997
78.8,6.9738
94.5,8.363249999999999
127.0,11.2395
93.0,8.2305
155.0,13.7175
202.0,17.877
95.0,8.407499999999999
123.0,10.885499999999999
148.0,13.097999999999999
36.5,3.23025
125.0,11.0625
172.0,15.222
40.0,3.54
52.1,4.61085
78.7,6.96495
97.2,8.6022
125.0,11.0625
162.0,14.337
43.0,3.8055
57.4,5.079899999999999
71.0,6.2835
27.0,2.3895
69.1,6.115349999999999
36.1,3.1948499999999997
88.7,7.84995
37.8,3.3452999999999995
9.31,0.823935
51.4,4.5489
137.0,12.1245
77.3,6.841049999999999
81.5,7.21275
141.0,12.478499999999999
310.635,3510.0
253.55249999999998,2865.0
249.57,2820.0
277.71299999999997,3138.0
192.045,2170.0
163.10549999999998,1843.0
163.9905,1853.0
174.7875,1975.0
536.1329999999999,6058.0
177.177,2002.0
184.965,2090.0
265.5885,3001.0
265.5885,3001.0
181.15949999999998,2047.0
185.76149999999998,2099.0
91.155,1030.0
132.6615,1499.0
241.51649999999998,2729.0
176.82299999999998,1998.0
193.90349999999998,2191.0
246.11849999999998,2781.0
282.138,3188.0
261.87149999999997,2959.0
253.72949999999997,2867.0
192.48749999999998,2175.0
232.84349999999998,2631.0
176.82299999999998,1998.0
178.50449999999998,2017.0
143.9895,1627.0
154.4325,1745.0
648.174,7324.0
648.174,7324.0
584.631,6606.0
185.23049999999998,2093.0
284.43899999999996,3214.0
38.1,2540.0
46.3,2144.0
45.5,2144.0
35.1,2583.0
47.3,4.18605
47.8,4.2303
61.3,2264.0
20.2,2050.0
43.3,2837.0
23.4,2712.0
47.2,2790.0
2.1,755.0
6.1,640.0
2.0,0.177
7.2,1116.0
4.3,926.0
6.2,1146.0
0.6,2300.0
1.4,1900.0
19.1,4047.0
1.2,900.0
86.8,5025.0
63.2,5024.0
71.5,4790.0
52.2,4784.0
63.8,4810.0
157.0,10941.0
105.0,8839.0
277.0,8778.0
315.0,8850.0
315.0,8544.0
543.39,6140.0
543.8325,6145.0
544.7175,6155.0
65.0475,735.0
125.847,1422.0
138.06,1560.0
340.28249999999997,3845.0
323.4675,3655.0
504.45,5700.0
253.10999999999999,2860.0
371.7,4200.0
511.2645,5777.0
450.111,5086.0
464.5365,5249.0
529.053,5978.0
433.827,4902.0
362.142,4092.0
154.167,1742.0
244.791,2766.0
246.915,2790.0
110.18249999999999,1245.0
528.9644999999999,5977.0
91.155,1030.0
101.3325,1145.0
165.495,1870.0
167.619,1894.0
92.03999999999999,1040.0
139.3875,1575.0
481.794,5444.0
43.8075,495.0
196.3815,2219.0
43.8075,495.0
487.36949999999996,5507.0
166.6455,1883.0
87.615,990.0
453.12,5120.0
455.68649999999997,5149.0
445.686,5036.0
477.1035,5391.0
297.6255,3363.0
438.96,4960.0
519.2294999999999,5867.0
446.748,5048.0
435.3315,4919.0
448.7835,5071.0
449.31449999999995,5077.0
145.7595,1647.0
156.7335,1771.0
549.1424999999999,6205.0
461.262,5212.0
528.7875,5975.0
442.14599999999996,4996.0
659.856,7456.0
659.4135,7451.0
203.54999999999998,2300.0
486.6615,5499.0
716.5844999999999,8097.0
477.28049999999996,5393.0
466.926,5276.0
451.6155,5103.0
444.7125,5025.0
726.054,8204.0
447.89849999999996,5061.0
449.75699999999995,5082.0
123.015,1390.0
454.005,5130.0
139.3875,1575.0
213.1965,2409.0
142.48499999999999,1610.0
153.54749999999999,1735.0
152.4855,1723.0
141.423,1598.0
110.18249999999999,1245.0
151.7775,1715.0
102.2175,1155.0
129.20999999999998,1460.0
142.92749999999998,1615.0
123.89999999999999,1400.0
112.83749999999999,1275.0
139.2105,1573.0
463.563,5238.0
458.3415,5179.0
448.2525,5065.0
288.4215,3259.0
169.92,1920.0
472.59,5340.0
625.6949999999999,7070.0
144.255,1630.0
429.22499999999997,4850.0
696.2294999999999,7867.0
453.12,5120.0
500.556,5656.0
467.3685,5281.0
529.4955,5983.0
141.95399999999998,1604.0
106.19999999999999,1200.0
184.52249999999998,2085.0
429.22499999999997,4850.0
449.049,5074.0
451.4385,5101.0
305.4135,3451.0
446.03999999999996,5040.0
304.971,3446.0
149.565,1690.0
168.14999999999998,1900.0
195.31949999999998,2207.0
161.778,1828.0
461.5275,5215.0
158.769,1794.0
165.05249999999998,1865.0
65.22449999999999,737.0
349.84049999999996,3953.0
74.7825,845.0
349.84049999999996,3953.0
155.3175,1755.0
135.93599999999998,1536.0
274.79249999999996,3105.0
275.412,3112.0
324.5295,3667.0
324.5295,3667.0
245.58749999999998,2775.0
287.7135,3251.0
269.3055,3043.0
555.8684999999999,6281.0
80.181,906.0
59.294999999999995,670.0
454.27049999999997,5133.0
7.0,650.0
4.0,648.0
3.8,1280.0
4.9,1280.0
6.8,1420.0
7.1,1400.0
12.0,1350.0
12.0,1.0619999999999998
7.0,1236.0
7.0,1179.0
9.0,1160.0
7.5,1315.0
6.0,1081.0
7.5,1338.0
2.5,1322.0
9.0,675.0
6.0,956.0
4.0,960.0
7.5,650.0
7.4,1840.0
5.5,1815.0
97.704,1104.0
3.0,1260.0
4.0,1150.0
3.0,1148.0
6.5,2248.0
7.9,2227.0
180.363,2038.0
8.0,2312.0
6.5,2280.0
207.35549999999998,2343.0
220.542,2492.0
36.0,1246.0
217.0,7475.0
219.0,7226.0
652.245,7370.0
643.1295,7267.0
666.228,7528.0
205.32,2320.0
154.0,5970.0
187.0,1997.0
98.0,8.673
21.0,1.8584999999999998
75.0,6.637499999999999
45.0,4864.0
21.0,2746.0
24.0,2.1239999999999997
41.0,3382.0
26.0,2.3009999999999997
26.0,2823.0
41.0,3.6285
55.0,4.8675
25.0,4104.0
25.0,2.2125
106.0,9.381
57.0,5.044499999999999
80.0,7.08
46.0,4.071
40.0,3.54
42.0,3.7169999999999996
19.0275,215.0
125.66999999999999,1420.0
164.8755,1863.0
95.58,1080.0
183.2835,2071.0
168.41549999999998,1903.0
163.017,1842.0
100.005,1130.0
299.484,3384.0
53.099999999999994,600.0
371.7,4200.0
155.93699999999998,1762.0
440.64149999999995,4979.0
93.80999999999999,1060.0
96.46499999999999,1090.0
65.49,740.0
50.887499999999996,575.0
141.95399999999998,1604.0
94.78349999999999,1071.0
91.42049999999999,1033.0
65.93249999999999,745.0
124.34249999999999,1405.0
123.4575,1395.0
76.5525,865.0
469.04999999999995,5300.0
81.42,920.0
112.83749999999999,1275.0
75.225,850.0
79.2075,895.0
46.4625,525.0
174.7875,1975.0
46.019999999999996,520.0
84.07499999999999,950.0
172.575,1950.0
133.281,1506.0
15.93,180.0
45.7,4.04445
30.8,2.7258
41.8,3.6992999999999996
71.9,6.36315
75.0,6.637499999999999
82.0,7.257
52.3,4.62855
50.5,4.46925
42.9,3.7966499999999996
42.3,3.7435499999999995
28.4,2.5134
26.0,2.3009999999999997
18.5,1.6372499999999999
64.3,5.690549999999999
79.7,7.05345
57.9,5.124149999999999
68.3,6.044549999999999
35.0,3.0974999999999997
39.8,3.5222999999999995
18.6,1.6461000000000001
80.3,7.1065499999999995
15.5,1.37175
11.5,1.01775
17.2,1.5221999999999998
21.9,1.9381499999999998
21.4,1.8938999999999997
22.5,1.99125
34.6,3.0621
19.0,1.6815
20.4,1.8053999999999997
20.5,1.81425
26.9,2.3806499999999997
144.0,12.744
50.1,4.43385
52.6,4.6551
50.4,4.4604
56.1,4.96485
44.0,3.8939999999999997
24.4,2.1593999999999998
19.9,1.7611499999999998
20.5,1.81425
21.2,1.8761999999999999
24.8,2.1948
25.6,2.2656
18.7,1.65495
19.7,1.74345
20.3,1.7965499999999999
46.7,4.13295
70.6,6.248099999999999
60.7,5.37195
33.8,2.9912999999999994
34.4,3.0443999999999996
40.2,3.5577
31.9,2.8231499999999996
49.0,4.3365
20.8,1.8408
21.9,1.9381499999999998
37.7,3.33645
37.9,3.3541499999999997
38.4,3.3983999999999996
38.4,3.3983999999999996
38.3,3.3895499999999994
30.8,2.7258
34.8,3.0797999999999996
75.9,6.71715
30.6,2.7081
56.8,5.0268
63.0,5.5755
55.9,4.94715
50.2,4.4427
67.9,6.00915
41.9,3.70815
89.2,7.8942
20.3,1.7965499999999999
17.4,1.5398999999999998
19.5,1.72575
27.8,2.4603
72.7,6.43395
92.4,8.1774
97.7,8.64645
73.6,6.513599999999999
63.8,5.646299999999999
78.3,6.929549999999999
64.8,5.734799999999999
53.6,4.7436
45.5,4.02675
45.6,4.0356
45.7,4.04445
49.6,4.3896
66.3,5.86755
62.7,5.54895
81.8,7.239299999999999
60.3,5.33655
72.6,6.4251
74.6,6.602099999999999
77.4,6.8499
65.2,5.7702
42.8,3.7877999999999994
86.4,7.6464
38.2,3.3807
83.1,7.354349999999999
63.9,5.65515
73.7,6.52245
72.3,6.398549999999999
65.4,5.7879000000000005
47.4,4.1949
55.9,4.94715
45.0,3.9825
52.0,4.601999999999999
59.4,5.2569
58.7,5.19495
54.7,4.84095
53.9,4.770149999999999
60.0,5.31
53.5,4.73475
53.8,4.761299999999999
34.4,3.0443999999999996
61.5,5.442749999999999
18.0,1.593
41.0,3.6285
39.7,3.51345
37.0,3.2744999999999997
40.2,3.5577
39.8,3.5222999999999995
33.9,3.0001499999999997
20.8,1.8408
35.2,3.1152
1068.195,12070.0
1047.0435,11831.0
1057.752,11952.0
1181.475,13350.0
1138.7295,12867.0
1128.2865,12749.0
1207.317,13642.0
1316.4375,14875.0
1292.3654999999999,14603.0
865.8839999999999,9784.0
923.9399999999999,10440.0
929.5155,10503.0
1000.8465,11309.0
1018.9005,11513.0
232.84349999999998,2631.0
426.393,4818.0
516.663,5838.0
686.2289999999999,7754.0
831.3689999999999,9394.0
1162.5359999999998,13136.0
1107.135,12510.0
1104.8339999999998,12484.0
1129.791,12766.0
786.942,8892.0
1172.7134999999998,13251.0
1189.5285,13441.0
963.765,10890.0
391.70099999999996,4426.0
347.5395,3927.0
360.90299999999996,4078.0
310.104,3504.0
302.5815,3419.0
293.55449999999996,3317.0
530.2035,5991.0
525.867,5942.0
280.191,3166.0
271.518,3068.0
256.11899999999997,2894.0
298.776,3376.0
301.69649999999996,3409.0
281.3415,3179.0
302.5815,3419.0
290.3685,3281.0
279.306,3156.0
280.8105,3173.0
445.155,5030.0
268.2435,3031.0
441.084,4984.0
120.27149999999999,1359.0
90.09299999999999,1018.0
120.4485,1361.0
120.4485,1361.0
103.54499999999999,1170.0
80.0925,905.0
126.64349999999999,1431.0
118.5015,1339.0
128.4135,1451.0
129.6525,1465.0
76.99499999999999,870.0
115.22699999999999,1302.0
128.4135,1451.0
106.19999999999999,1200.0
154.69799999999998,1748.0
138.945,1570.0
152.8395,1727.0
189.4785,2141.0
163.017,1842.0
150.5385,1701.0
150.5385,1701.0
557.55,6300.0
462.41249999999997,5225.0
436.30499999999995,4930.0
436.5705,4933.0
611.004,6904.0
375.594,4244.0
700.7429999999999,7918.0
375.948,4248.0
692.3354999999999,7823.0
771.8969999999999,8722.0
762.87,8620.0
761.7194999999999,8607.0
158.769,1794.0
876.6809999999999,9906.0
923.6745,10437.0
541.3544999999999,6117.0
717.2925,8105.0
473.121,5346.0
463.82849999999996,5241.0
421.1715,4759.0
435.41999999999996,4920.0
440.64149999999995,4979.0
700.1234999999999,7911.0
431.61449999999996,4877.0
431.61449999999996,4877.0
456.306,5156.0
466.74899999999997,5274.0
553.5675,6255.0
737.2935,8331.0
758.1795,8567.0
488.25449999999995,5517.0
521.088,5888.0
730.0364999999999,8249.0
712.602,8052.0
378.78,4280.0
677.202,7652.0
639.7665,7229.0
606.933,6858.0
524.5395,5927.0
417.71999999999997,4720.0
472.85549999999995,5343.0
476.0415,5379.0
384.00149999999996,4339.0
375.32849999999996,4241.0
380.8155,4303.0
417.10049999999995,4713.0
606.4019999999999,6852.0
439.75649999999996,4969.0
384.621,4346.0
649.059,7334.0
667.0245,7537.0
553.833,6258.0
161.5125,1825.0
243.375,2750.0
178.50449999999998,2017.0
161.1585,1821.0
19.47,220.0
225.14399999999998,2544.0
201.072,2272.0
189.39,2140.0
21.0,2756.0
211.95749999999998,2395.0
197.355,2230.0
71.0,5171.0
375.77099999999996,4246.0
399.5775,4515.0
76.11,860.0
61.0,5095.0
61.0,5178.0
296.91749999999996,3355.0
322.14,3640.0
286.74,3240.0
188.7705,2133.0
90.0,4912.0
380.8155,4303.0
60.0,4960.0
55.0,4831.0
55.0,4670.0
55.0,4839.0
333.645,3770.0
276.3855,3123.0
23.363999999999997,264.0
192.045,2170.0
177.4425,2005.0
270.279,3054.0
378.78,4280.0
278.775,3150.0
343.8225,3885.0
219.92249999999999,2485.0
212.39999999999998,2400.0
249.57,2820.0
22.0,3646.0
20.0,3218.0
25.0,4760.0
232.57799999999997,2628.0
261.5175,2955.0
255.67649999999998,2889.0
536.1329999999999,6058.0
138.945,1570.0
76.99499999999999,870.0
106.19999999999999,1200.0
154.69799999999998,1748.0
